any_visits_14_fct,April,May,June,July,August,September,October,November,December,January,February,March
Any visits,0.4902972360435795,0.5929620547979809,0.6568767865570266,0.6506058079513448,0.6781524160666126,0.6789921440055824,0.6070823945058631,0.6233363905439775,0.6011150301293632,0.6037623150659496,0.6186469294601308,0.6317369130739823
No visits,0.4581780873329225,0.33253727133226435,0.27019111480983554,0.25557146962836885,0.22542746253751647,0.21975919536806493,0.26626237035992284,0.2753219144445358,0.27864817745056564,0.30006530381523056,0.28355327023454935,0.26951347946489324
Other,0.05152467662349799,0.07450067386975479,0.07293209863313777,0.09382272242028633,0.09642012139587104,0.10124866062635268,0.126655235134214,0.10134169501148675,0.12023679242007111,0.0961723811188199,0.09779980030531982,0.09874960746112445
